date,store_id,item_id,qty_sold,on_promo,discount_pct,Price,stockout_flag
01-01-2022,S001,P0001,127,0,0,33.5,0
01-01-2022,S001,P0002,150,0,0,63.01,0
01-01-2022,S001,P0003,65,1,10,27.99,0
01-01-2022,S001,P0004,61,1,25,32.72,0
01-01-2022,S001,P0005,14,1,10,73.64,0
01-01-2022,S001,P0006,128,1,15,76.83,0
01-01-2022,S001,P0007,97,1,5,34.16,0
01-01-2022,S001,P0008,312,0,0,97.99,0
01-01-2022,S001,P0009,175,0,0,20.74,0
01-01-2022,S001,P0010,28,1,15,59.99,0
01-01-2022,S001,P0011,150,1,10,58.53,0
01-01-2022,S001,P0012,0,0,0,58.25,1
01-01-2022,S001,P0013,42,0,0,43.6,0
01-01-2022,S001,P0014,12,0,0,78.11,0
01-01-2022,S001,P0015,369,0,0,92.99,0
01-01-2022,S001,P0016,255,1,25,21.9,0
01-01-2022,S001,P0017,246,0,0,21.07,0
01-01-2022,S001,P0018,0,0,0,19.57,1
01-01-2022,S001,P0019,257,0,0,73.28,0
01-01-2022,S001,P0020,99,0,0,30.24,0
01-01-2022,S002,P0001,104,1,15,32.8,0
01-01-2022,S002,P0002,141,1,20,46.16,0
01-01-2022,S002,P0003,182,1,20,20.46,0
01-01-2022,S002,P0004,63,0,0,26.19,0
01-01-2022,S002,P0005,156,0,0,83.29,0
01-01-2022,S002,P0006,250,0,0,85.59,0
01-01-2022,S002,P0007,393,0,0,91.13,0
01-01-2022,S002,P0008,29,0,0,66.96,0
01-01-2022,S002,P0009,9,1,20,81.29,0
01-01-2022,S002,P0010,126,1,5,60.84,0
01-01-2022,S002,P0011,13,1,15,34.62,0
01-01-2022,S002,P0012,25,1,5,19.56,0
01-01-2022,S002,P0013,283,0,0,57.78,0
01-01-2022,S002,P0014,359,0,0,91.28,0
01-01-2022,S002,P0015,129,1,20,59.9,0
01-01-2022,S002,P0016,63,1,25,45.65,0
01-01-2022,S002,P0017,373,1,5,11.71,0
01-01-2022,S002,P0018,160,0,0,58.84,0
01-01-2022,S002,P0019,15,1,5,84.99,0
01-01-2022,S002,P0020,101,1,25,87.1,0
01-01-2022,S003,P0001,147,1,10,67.21,0
01-01-2022,S003,P0002,4,1,5,28.2,0
01-01-2022,S003,P0003,77,1,10,56.16,0
01-01-2022,S003,P0004,31,1,10,89.53,0
01-01-2022,S003,P0005,325,0,0,97.95,0
01-01-2022,S003,P0006,163,1,20,76.37,0
01-01-2022,S003,P0007,34,1,5,86.99,0
01-01-2022,S003,P0008,0,1,15,66.53,1
01-01-2022,S003,P0009,15,1,10,74.86,0
01-01-2022,S003,P0010,126,1,25,97.09,0
01-01-2022,S003,P0011,232,1,10,56.19,0
01-01-2022,S003,P0012,175,0,0,90.38,0
01-01-2022,S003,P0013,17,1,25,73.98,0
01-01-2022,S003,P0014,369,1,20,79.03,0
01-01-2022,S003,P0015,260,0,0,27.72,0
01-01-2022,S003,P0016,347,0,0,98.18,0
01-01-2022,S003,P0017,150,1,10,27.1,0
01-01-2022,S003,P0018,70,1,15,97.08,0
01-01-2022,S003,P0019,249,1,25,26.71,0
01-01-2022,S003,P0020,370,1,5,95.85,0
01-01-2022,S004,P0001,271,0,0,15.62,0
01-01-2022,S004,P0002,180,0,0,41.13,0
01-01-2022,S004,P0003,344,1,20,89.32,0
01-01-2022,S004,P0004,0,0,0,87.23,1
01-01-2022,S004,P0005,200,1,15,81.72,0
01-01-2022,S004,P0006,382,0,0,41.35,0
01-01-2022,S004,P0007,190,0,0,67.26,0
01-01-2022,S004,P0008,51,1,10,85.88,0
01-01-2022,S004,P0009,40,1,20,59.23,0
01-01-2022,S004,P0010,104,0,0,33.48,0
01-01-2022,S004,P0011,46,1,10,54.84,0
01-01-2022,S004,P0012,9,1,15,14.25,0
01-01-2022,S004,P0013,56,0,0,61.81,0
01-01-2022,S004,P0014,63,1,25,66.94,0
01-01-2022,S004,P0015,181,0,0,60.54,0
01-01-2022,S004,P0016,94,0,0,94.26,0
01-01-2022,S004,P0017,46,0,0,25.55,0
01-01-2022,S004,P0018,8,1,5,16.73,0
01-01-2022,S004,P0019,172,1,20,71.2,0
01-01-2022,S004,P0020,68,0,0,11.5,0
01-01-2022,S005,P0001,77,0,0,70.33,0
01-01-2022,S005,P0002,298,1,20,57.15,0
01-01-2022,S005,P0003,64,0,0,36.17,0
01-01-2022,S005,P0004,300,1,10,50.77,0
01-01-2022,S005,P0005,21,1,20,92.86,0
01-01-2022,S005,P0006,176,0,0,60.76,0
01-01-2022,S005,P0007,131,0,0,46.47,0
01-01-2022,S005,P0008,317,1,15,34.08,0
01-01-2022,S005,P0009,97,0,0,87.81,0
01-01-2022,S005,P0010,8,1,20,37.04,0
01-01-2022,S005,P0011,104,1,10,54.12,0
01-01-2022,S005,P0012,87,0,0,67.64,0
01-01-2022,S005,P0013,238,1,10,82.18,0
01-01-2022,S005,P0014,171,1,5,42.62,0
01-01-2022,S005,P0015,250,0,0,11.54,0
01-01-2022,S005,P0016,11,0,0,16.3,0
01-01-2022,S005,P0017,371,1,25,98.31,0
01-01-2022,S005,P0018,0,1,5,48.96,1
01-01-2022,S005,P0019,106,0,0,88.22,0
01-01-2022,S005,P0020,101,1,15,11.04,0
02-01-2022,S001,P0001,81,0,0,27.95,0
02-01-2022,S001,P0002,163,0,0,19.78,0
02-01-2022,S001,P0003,464,0,0,70.99,0
02-01-2022,S001,P0004,116,0,0,49.56,0
02-01-2022,S001,P0005,200,1,25,23.76,0
02-01-2022,S001,P0006,58,1,10,47.56,0
02-01-2022,S001,P0007,56,1,20,17.1,0
02-01-2022,S001,P0008,74,0,0,58.89,0
02-01-2022,S001,P0009,54,1,25,99.76,0
02-01-2022,S001,P0010,39,0,0,11.44,0
02-01-2022,S001,P0011,12,1,20,53.84,0
02-01-2022,S001,P0012,0,1,10,57.84,1
02-01-2022,S001,P0013,31,1,5,35.51,0
02-01-2022,S001,P0014,25,1,10,31.41,0
02-01-2022,S001,P0015,198,1,15,28.06,0
02-01-2022,S001,P0016,77,0,0,35.67,0
02-01-2022,S001,P0017,165,0,0,28.18,0
02-01-2022,S001,P0018,42,0,0,74.42,0
02-01-2022,S001,P0019,8,1,20,91.95,0
02-01-2022,S001,P0020,174,0,0,97.88,0
02-01-2022,S002,P0001,343,1,5,66.57,0
02-01-2022,S002,P0002,71,0,0,90.36,0
02-01-2022,S002,P0003,157,1,25,92.24,0
02-01-2022,S002,P0004,88,0,0,68.71,0
02-01-2022,S002,P0005,64,1,10,87.22,0
02-01-2022,S002,P0006,273,0,0,79.38,0
02-01-2022,S002,P0007,247,0,0,17.41,0
02-01-2022,S002,P0008,42,1,10,14.8,0
02-01-2022,S002,P0009,197,0,0,30.5,0
02-01-2022,S002,P0010,374,1,5,27.84,0
02-01-2022,S002,P0011,154,0,0,88.62,0
02-01-2022,S002,P0012,236,0,0,82.35,0
02-01-2022,S002,P0013,278,1,20,92.57,0
02-01-2022,S002,P0014,27,0,0,94.38,0
02-01-2022,S002,P0015,106,1,20,70.59,0
02-01-2022,S002,P0016,154,0,0,63.13,0
02-01-2022,S002,P0017,176,1,15,46.04,0
02-01-2022,S002,P0018,124,0,0,21.07,0
02-01-2022,S002,P0019,479,0,0,79.11,0
02-01-2022,S002,P0020,78,1,20,64.99,0
02-01-2022,S003,P0001,114,0,0,73.48,0
02-01-2022,S003,P0002,2,0,0,87.5,0
02-01-2022,S003,P0003,7,1,25,88.68,0
02-01-2022,S003,P0004,54,0,0,82.36,0
02-01-2022,S003,P0005,282,0,0,38.56,0
02-01-2022,S003,P0006,93,0,0,97.74,0
02-01-2022,S003,P0007,85,0,0,37.68,0
02-01-2022,S003,P0008,136,1,15,36.03,0
02-01-2022,S003,P0009,140,1,5,88.97,0
02-01-2022,S003,P0010,79,1,15,16.48,0
02-01-2022,S003,P0011,106,1,20,58.37,0
02-01-2022,S003,P0012,1,1,15,27.86,0
02-01-2022,S003,P0013,203,1,25,39.14,0
02-01-2022,S003,P0014,368,0,0,66.51,0
02-01-2022,S003,P0015,286,0,0,89.65,0
02-01-2022,S003,P0016,69,0,0,86.7,0
02-01-2022,S003,P0017,0,1,25,29.69,1
02-01-2022,S003,P0018,109,1,15,86.93,0
02-01-2022,S003,P0019,50,0,0,59.33,0
02-01-2022,S003,P0020,0,1,15,57.07,0
02-01-2022,S004,P0001,22,0,0,74.16,0
02-01-2022,S004,P0002,45,1,15,59.38,0
02-01-2022,S004,P0003,89,1,10,48.18,0
02-01-2022,S004,P0004,209,0,0,94.75,0
02-01-2022,S004,P0005,4,0,0,60.89,0
02-01-2022,S004,P0006,47,0,0,14.71,0
02-01-2022,S004,P0007,115,0,0,33.09,0
02-01-2022,S004,P0008,27,1,5,98.75,0
02-01-2022,S004,P0009,90,1,5,12.4,0
02-01-2022,S004,P0010,206,1,5,92.01,0
02-01-2022,S004,P0011,328,1,10,92.12,0
02-01-2022,S004,P0012,155,0,0,37.39,0
02-01-2022,S004,P0013,184,1,20,85.35,0
02-01-2022,S004,P0014,16,0,0,82.64,0
02-01-2022,S004,P0015,90,1,25,92.19,0
02-01-2022,S004,P0016,178,0,0,61.41,0
02-01-2022,S004,P0017,256,0,0,96.47,0
02-01-2022,S004,P0018,27,0,0,89.33,0
02-01-2022,S004,P0019,67,1,15,59.49,0
02-01-2022,S004,P0020,84,1,20,73.05,0
02-01-2022,S005,P0001,67,0,0,67.49,0
02-01-2022,S005,P0002,15,1,20,66.05,0
02-01-2022,S005,P0003,333,1,15,80.88,0
02-01-2022,S005,P0004,56,1,15,60.5,0
